date,calls
2021-07-09,471
2021-07-10,655
2021-07-11,804
2021-07-12,767
2021-07-13,649
2021-07-14,541
2021-07-15,318
2021-07-16,436
2021-07-17,557
2021-07-18,707
2021-07-19,715
2021-07-20,734
2021-07-21,510
2021-07-22,352
2021-07-23,280
2021-07-24,566
2021-07-25,822
2021-07-26,881
2021-07-27,689
2021-07-28,510
2021-07-29,437
2021-07-30,377
2021-07-31,586
2021-08-01,775
2021-08-02,862
2021-08-03,710
2021-08-04,533
2021-08-05,373
2021-08-06,389
2021-08-07,563
2021-08-08,759
2021-08-09,850
2021-08-10,678
2021-08-11,622
2021-08-12,407
2021-08-13,433
2021-08-14,540
2021-08-15,623
2021-08-16,852
2021-08-17,758
2021-08-18,536
2021-08-19,427
2021-08-20,463
2021-08-21,503
2021-08-22,721
2021-08-23,851
2021-08-24,662
2021-08-25,568
2021-08-26,359
2021-08-27,464
2021-08-28,582
2021-08-29,670
2021-08-30,873
2021-08-31,691
2021-09-01,517
2021-09-02,440
2021-09-03,501
2021-09-04,537
2021-09-05,757
2021-09-06,839
2021-09-07,766
2021-09-08,569
2021-09-09,415
2021-09-10,406
2021-09-11,595
2021-09-12,704
2021-09-13,675
2021-09-14,757
2021-09-15,609
2021-09-16,319
2021-09-17,400
2021-09-18,625
2021-09-19,864
2021-09-20,826
2021-09-21,702
2021-09-22,558
2021-09-23,509
2021-09-24,422
2021-09-25,558
2021-09-26,740
2021-09-27,780
2021-09-28,748
2021-09-29,652
2021-09-30,460
2021-10-01,445
2021-10-02,586
2021-10-03,689
2021-10-04,875
2021-10-05,741
2021-10-06,565
2021-10-07,607
2021-10-08,475
2021-10-09,567
2021-10-10,749
2021-10-11,892
2021-10-12,754
2021-10-13,505
2021-10-14,496
2021-10-15,430
2021-10-16,701
2021-10-17,828
2021-10-18,816
2021-10-19,816
2021-10-20,584
2021-10-21,496
2021-10-22,491
2021-10-23,569
2021-10-24,745
2021-10-25,893
2021-10-26,738
2021-10-27,564
2021-10-28,409
2021-10-29,492
2021-10-30,718
2021-10-31,727
2021-11-01,846
2021-11-02,829
2021-11-03,583
2021-11-04,483
2021-11-05,421
2021-11-06,639
2021-11-07,775
2021-11-08,897
2021-11-09,821
2021-11-10,720
2021-11-11,493
2021-11-12,494
2021-11-13,631
2021-11-14,770
2021-11-15,868
2021-11-16,750
2021-11-17,602
2021-11-18,533
2021-11-19,430
2021-11-20,682
2021-11-21,857
2021-11-22,849
2021-11-23,662
2021-11-24,567
2021-11-25,535
2021-11-26,483
2021-11-27,578
2021-11-28,769
2021-11-29,900
2021-11-30,799
2021-12-01,589
2021-12-02,456
2021-12-03,468
2021-12-04,585
2021-12-05,878
2021-12-06,845
2021-12-07,836
2021-12-08,680
2021-12-09,527
2021-12-10,469
2021-12-11,655
2021-12-12,800
2021-12-13,820
2021-12-14,795
2021-12-15,548
2021-12-16,540
2021-12-17,471
2021-12-18,648
2021-12-19,818
2021-12-20,855
2021-12-21,811
2021-12-22,587
2021-12-23,528
2021-12-24,430
2021-12-25,648
2021-12-26,905
2021-12-27,822
2021-12-28,751
2021-12-29,640
2021-12-30,496
2021-12-31,518
2022-01-01,669
2022-01-02,843
2022-01-03,930
2022-01-04,809
2022-01-05,605
2022-01-06,524
2022-01-07,599
2022-01-08,641
2022-01-09,766
2022-01-10,934
2022-01-11,786
2022-01-12,512
2022-01-13,536
2022-01-14,481
2022-01-15,647
2022-01-16,834
2022-01-17,891
2022-01-18,831
2022-01-19,602
2022-01-20,523
2022-01-21,498
2022-01-22,692
2022-01-23,852
2022-01-24,838
2022-01-25,853
2022-01-26,601
2022-01-27,541
2022-01-28,533
2022-01-29,750
2022-01-30,813
2022-01-31,871
2022-02-01,801
2022-02-02,616
2022-02-03,544
2022-02-04,437
2022-02-05,609
2022-02-06,774
2022-02-07,939
2022-02-08,891
2022-02-09,629
2022-02-10,499
2022-02-11,524
2022-02-12,723
2022-02-13,785
2022-02-14,907
2022-02-15,857
2022-02-16,663
2022-02-17,520
2022-02-18,574
2022-02-19,533
2022-02-20,868
2022-02-21,866
2022-02-22,721
2022-02-23,667
2022-02-24,583
2022-02-25,521
2022-02-26,719
2022-02-27,918
2022-02-28,967
2022-03-01,897
2022-03-02,681
2022-03-03,521
2022-03-04,451
2022-03-05,663
2022-03-06,799
2022-03-07,1014
2022-03-08,810
2022-03-09,654
2022-03-10,549
2022-03-11,537
2022-03-12,763
2022-03-13,813
2022-03-14,918
2022-03-15,785
2022-03-16,585
2022-03-17,494
2022-03-18,536
2022-03-19,660
2022-03-20,813
2022-03-21,842
2022-03-22,821
2022-03-23,579
2022-03-24,566
2022-03-25,545
2022-03-26,612
2022-03-27,836
2022-03-28,878
2022-03-29,845
2022-03-30,725
2022-03-31,437
2022-04-01,550
2022-04-02,680
2022-04-03,888
2022-04-04,929
2022-04-05,795
2022-04-06,645
2022-04-07,495
2022-04-08,602
2022-04-09,693
2022-04-10,953
2022-04-11,919
2022-04-12,800
2022-04-13,589
2022-04-14,448
2022-04-15,472
2022-04-16,708
2022-04-17,887
2022-04-18,846
2022-04-19,884
2022-04-20,644
2022-04-21,548
2022-04-22,635
2022-04-23,743
2022-04-24,851
2022-04-25,884
2022-04-26,735
2022-04-27,635
2022-04-28,534
2022-04-29,509
2022-04-30,695
2022-05-01,872
2022-05-02,921
2022-05-03,813
2022-05-04,683
2022-05-05,570
2022-05-06,507
2022-05-07,776
2022-05-08,866
2022-05-09,936
2022-05-10,884
2022-05-11,690
2022-05-12,599
2022-05-13,579
2022-05-14,678
2022-05-15,893
2022-05-16,881
2022-05-17,858
2022-05-18,680
2022-05-19,544
2022-05-20,562
2022-05-21,618
2022-05-22,851
2022-05-23,947
2022-05-24,864
2022-05-25,633
2022-05-26,621
2022-05-27,528
2022-05-28,764
2022-05-29,903
2022-05-30,913
2022-05-31,948
2022-06-01,628
2022-06-02,607
2022-06-03,625
2022-06-04,685
2022-06-05,954
2022-06-06,936
2022-06-07,877
2022-06-08,704
2022-06-09,558
2022-06-10,619
2022-06-11,762
2022-06-12,801
2022-06-13,1017
2022-06-14,783
2022-06-15,746
2022-06-16,624
2022-06-17,527
2022-06-18,705
2022-06-19,836
2022-06-20,945
2022-06-21,854
2022-06-22,737
2022-06-23,637
2022-06-24,655
2022-06-25,700
2022-06-26,884
2022-06-27,875
2022-06-28,832
2022-06-29,750
2022-06-30,655
2022-07-01,526
2022-07-02,702
2022-07-03,897
2022-07-04,976
2022-07-05,835
2022-07-06,726
2022-07-07,554
2022-07-08,591
2022-07-09,763
2022-07-10,902
2022-07-11,944
2022-07-12,874
2022-07-13,704
2022-07-14,563
2022-07-15,582
2022-07-16,819
2022-07-17,933
2022-07-18,954
2022-07-19,917
2022-07-20,695
2022-07-21,643
2022-07-22,617
2022-07-23,737
2022-07-24,931
2022-07-25,894
2022-07-26,830
2022-07-27,655
2022-07-28,595
2022-07-29,688
2022-07-30,857
2022-07-31,944
2022-08-01,1001
2022-08-02,799
2022-08-03,691
2022-08-04,552
2022-08-05,574
2022-08-06,740
2022-08-07,891
2022-08-08,880
2022-08-09,930
2022-08-10,668
2022-08-11,607
2022-08-12,712
2022-08-13,706
2022-08-14,792
2022-08-15,968
2022-08-16,951
2022-08-17,823
2022-08-18,537
2022-08-19,636
2022-08-20,732
2022-08-21,916
2022-08-22,1118
2022-08-23,824
2022-08-24,741
2022-08-25,625
2022-08-26,669
2022-08-27,764
2022-08-28,941
2022-08-29,969
2022-08-30,916
2022-08-31,714
2022-09-01,636
2022-09-02,600
2022-09-03,781
2022-09-04,927
2022-09-05,1049
2022-09-06,903
2022-09-07,646
2022-09-08,671
2022-09-09,576
2022-09-10,733
2022-09-11,902
2022-09-12,1064
2022-09-13,803
2022-09-14,895
2022-09-15,664
2022-09-16,636
2022-09-17,766
2022-09-18,949
2022-09-19,1025
2022-09-20,945
2022-09-21,769
2022-09-22,619
2022-09-23,618
2022-09-24,765
2022-09-25,929
2022-09-26,1059
2022-09-27,946
2022-09-28,598
2022-09-29,651
2022-09-30,641
2022-10-01,775
2022-10-02,922
2022-10-03,1062
2022-10-04,967
2022-10-05,710
2022-10-06,642
2022-10-07,586
2022-10-08,710
2022-10-09,914
2022-10-10,1052
2022-10-11,971
2022-10-12,777
2022-10-13,661
2022-10-14,664
2022-10-15,750
2022-10-16,970
2022-10-17,1053
2022-10-18,964
2022-10-19,815
2022-10-20,664
2022-10-21,659
2022-10-22,839
2022-10-23,951
2022-10-24,972
2022-10-25,921
2022-10-26,721
2022-10-27,598
2022-10-28,638
2022-10-29,749
2022-10-30,940
2022-10-31,925
2022-11-01,944
2022-11-02,762
2022-11-03,594
2022-11-04,681
2022-11-05,839
2022-11-06,878
2022-11-07,984
2022-11-08,898
2022-11-09,718
2022-11-10,680
2022-11-11,642
2022-11-12,782
2022-11-13,862
2022-11-14,1058
2022-11-15,878
2022-11-16,771
2022-11-17,656
2022-11-18,723
2022-11-19,734
2022-11-20,814
2022-11-21,1038
2022-11-22,1033
2022-11-23,834
2022-11-24,656
2022-11-25,634
2022-11-26,843
2022-11-27,920
2022-11-28,1056
2022-11-29,972
2022-11-30,828
2022-12-01,786
2022-12-02,682
2022-12-03,780
2022-12-04,971
2022-12-05,948
2022-12-06,915
2022-12-07,758
2022-12-08,626
2022-12-09,673
2022-12-10,768
2022-12-11,1032
2022-12-12,1039
2022-12-13,953
2022-12-14,766
2022-12-15,663
2022-12-16,710
2022-12-17,769
2022-12-18,946
2022-12-19,1028
2022-12-20,889
2022-12-21,744
2022-12-22,635
2022-12-23,716
2022-12-24,829
2022-12-25,992
2022-12-26,1089
2022-12-27,953
2022-12-28,808
2022-12-29,657
2022-12-30,689
2022-12-31,790
2023-01-01,864
2023-01-02,1043
2023-01-03,1034
2023-01-04,838
2023-01-05,714
2023-01-06,740
2023-01-07,827
2023-01-08,999
2023-01-09,1022
2023-01-10,951
2023-01-11,826
2023-01-12,729
2023-01-13,675
2023-01-14,803
2023-01-15,992
2023-01-16,1086
2023-01-17,898
2023-01-18,684
2023-01-19,644
2023-01-20,624
2023-01-21,804
2023-01-22,988
2023-01-23,1037
2023-01-24,1046
2023-01-25,818
2023-01-26,690
2023-01-27,720
2023-01-28,776
2023-01-29,1051
2023-01-30,1059
2023-01-31,1010
2023-02-01,752
2023-02-02,601
2023-02-03,733
2023-02-04,855
2023-02-05,957
2023-02-06,1023
2023-02-07,1036
2023-02-08,749
2023-02-09,764
2023-02-10,650
2023-02-11,871
2023-02-12,989
2023-02-13,1100
2023-02-14,956
2023-02-15,804
2023-02-16,687
2023-02-17,649
2023-02-18,880
2023-02-19,983
2023-02-20,1061
2023-02-21,937
2023-02-22,687
2023-02-23,679
2023-02-24,823
2023-02-25,885
2023-02-26,1011
2023-02-27,1063
2023-02-28,991
2023-03-01,846
2023-03-02,633
2023-03-03,761
2023-03-04,885
2023-03-05,1052
2023-03-06,1102
2023-03-07,994
2023-03-08,856
2023-03-09,725
2023-03-10,691
2023-03-11,824
2023-03-12,1024
2023-03-13,1160
2023-03-14,935
2023-03-15,752
2023-03-16,707
2023-03-17,715
2023-03-18,865
2023-03-19,1035
2023-03-20,1075
2023-03-21,1075
2023-03-22,749
2023-03-23,661
2023-03-24,710
2023-03-25,777
2023-03-26,1017
2023-03-27,1173
2023-03-28,1004
2023-03-29,844
2023-03-30,643
2023-03-31,688
2023-04-01,844
2023-04-02,1013
2023-04-03,1157
2023-04-04,1035
2023-04-05,780
2023-04-06,721
2023-04-07,747
2023-04-08,923
2023-04-09,1112
2023-04-10,1046
2023-04-11,970
2023-04-12,776
2023-04-13,701
2023-04-14,749
2023-04-15,919
2023-04-16,1032
2023-04-17,1084
2023-04-18,1021
2023-04-19,801
2023-04-20,820
2023-04-21,649
2023-04-22,882
2023-04-23,1140
2023-04-24,1103
2023-04-25,1007
2023-04-26,828
2023-04-27,710
2023-04-28,801
2023-04-29,766
2023-04-30,1119
2023-05-01,1035
2023-05-02,1007
2023-05-03,828
2023-05-04,752
2023-05-05,656
2023-05-06,903
2023-05-07,1147
2023-05-08,1042
2023-05-09,1033
2023-05-10,819
2023-05-11,747
2023-05-12,740
2023-05-13,851
2023-05-14,1074
2023-05-15,1203
2023-05-16,1017
2023-05-17,892
2023-05-18,664
2023-05-19,695
2023-05-20,910
2023-05-21,1127
2023-05-22,1134
2023-05-23,1015
2023-05-24,859
2023-05-25,670
2023-05-26,776
2023-05-27,934
2023-05-28,1033
2023-05-29,1096
2023-05-30,1047
2023-05-31,841
2023-06-01,732
2023-06-02,854
2023-06-03,881
2023-06-04,1041
2023-06-05,1091
2023-06-06,1074
2023-06-07,857
2023-06-08,707
2023-06-09,819
2023-06-10,967
2023-06-11,1033
2023-06-12,1033
2023-06-13,1091
2023-06-14,835
2023-06-15,782
2023-06-16,657
2023-06-17,944
2023-06-18,1006
2023-06-19,1167
2023-06-20,1044
2023-06-21,825
2023-06-22,725
2023-06-23,794
2023-06-24,908
2023-06-25,1099
2023-06-26,1232
2023-06-27,969
2023-06-28,957
2023-06-29,754
2023-06-30,718
2023-07-01,840
2023-07-02,1063
2023-07-03,1183
2023-07-04,1044
2023-07-05,955
2023-07-06,680
2023-07-07,765
2023-07-08,847
2023-07-09,1094
2023-07-10,1184
2023-07-11,1033
2023-07-12,752
2023-07-13,766
2023-07-14,791
2023-07-15,933
2023-07-16,1141
2023-07-17,1090
2023-07-18,1091
2023-07-19,946
2023-07-20,670
2023-07-21,789
2023-07-22,891
2023-07-23,1079
2023-07-24,1164
2023-07-25,1036
2023-07-26,856
2023-07-27,764
2023-07-28,722
2023-07-29,866
2023-07-30,1120
2023-07-31,1093
2023-08-01,1097
2023-08-02,916
2023-08-03,680
2023-08-04,745
2023-08-05,983
2023-08-06,1041
2023-08-07,1130
2023-08-08,1090
2023-08-09,935
2023-08-10,757
2023-08-11,753
2023-08-12,998
2023-08-13,1180
2023-08-14,1206
2023-08-15,1075
2023-08-16,859
2023-08-17,731
2023-08-18,812
2023-08-19,951
2023-08-20,1166
2023-08-21,1193
2023-08-22,999
2023-08-23,955
2023-08-24,726
2023-08-25,770
2023-08-26,946
2023-08-27,1199
2023-08-28,1319
2023-08-29,1108
2023-08-30,897
2023-08-31,806
2023-09-01,837
2023-09-02,921
2023-09-03,1193
2023-09-04,1178
2023-09-05,1105
2023-09-06,943
2023-09-07,804
2023-09-08,838
2023-09-09,909
2023-09-10,1078
2023-09-11,1115
2023-09-12,1106
2023-09-13,952
2023-09-14,809
2023-09-15,883
2023-09-16,943
2023-09-17,1143
2023-09-18,1119
2023-09-19,1068
2023-09-20,951
2023-09-21,832
2023-09-22,788
2023-09-23,943
2023-09-24,1037
2023-09-25,1159
2023-09-26,1135
2023-09-27,948
2023-09-28,818
2023-09-29,809
2023-09-30,950
2023-10-01,1083
2023-10-02,1215
2023-10-03,1115
2023-10-04,947
2023-10-05,770
2023-10-06,702
2023-10-07,1008
2023-10-08,1096
2023-10-09,1141
2023-10-10,1132
2023-10-11,907
2023-10-12,852
2023-10-13,844
2023-10-14,991
2023-10-15,1055
2023-10-16,1248
2023-10-17,1114
2023-10-18,911
2023-10-19,810
2023-10-20,727
2023-10-21,981
2023-10-22,1075
2023-10-23,1123
2023-10-24,1028
2023-10-25,989
2023-10-26,775
2023-10-27,896
2023-10-28,937
2023-10-29,1044
2023-10-30,1138
2023-10-31,1169
2023-11-01,929
2023-11-02,782
2023-11-03,831
2023-11-04,992
2023-11-05,1189
2023-11-06,1270
2023-11-07,1093
2023-11-08,873
2023-11-09,792
2023-11-10,839
2023-11-11,922
2023-11-12,1089
2023-11-13,1218
2023-11-14,1112
2023-11-15,945
2023-11-16,778
2023-11-17,818
2023-11-18,927
2023-11-19,1184
2023-11-20,1256
2023-11-21,1025
2023-11-22,900
2023-11-23,745
2023-11-24,801
2023-11-25,973
2023-11-26,1071
2023-11-27,1161
2023-11-28,1071
2023-11-29,960
2023-11-30,826
2023-12-01,800
2023-12-02,989
2023-12-03,1119
2023-12-04,1197
2023-12-05,1208
2023-12-06,1020
2023-12-07,761
2023-12-08,881
2023-12-09,1024
2023-12-10,1093
2023-12-11,1255
2023-12-12,1204
2023-12-13,900
2023-12-14,784
2023-12-15,894
2023-12-16,1001
2023-12-17,1181
2023-12-18,1234
2023-12-19,1150
2023-12-20,893
2023-12-21,885
2023-12-22,905
2023-12-23,979
2023-12-24,1155
2023-12-25,1144
2023-12-26,1160
2023-12-27,992
2023-12-28,833
2023-12-29,906
2023-12-30,977
2023-12-31,1188
2024-01-01,1173
2024-01-02,1136
2024-01-03,958
2024-01-04,851
2024-01-05,835
2024-01-06,991
2024-01-07,1205
2024-01-08,1205
2024-01-09,1061
2024-01-10,1057
2024-01-11,912
2024-01-12,792
2024-01-13,1035
2024-01-14,1142
2024-01-15,1244
2024-01-16,1159
2024-01-17,961
2024-01-18,807
2024-01-19,825
2024-01-20,958
2024-01-21,1129
2024-01-22,1231
2024-01-23,1112
2024-01-24,1011
2024-01-25,924
2024-01-26,834
2024-01-27,1019
2024-01-28,1198
2024-01-29,1261
2024-01-30,1155
2024-01-31,1017
2024-02-01,877
2024-02-02,805
2024-02-03,1054
2024-02-04,1221
2024-02-05,1203
2024-02-06,1156
2024-02-07,1017
2024-02-08,846
2024-02-09,924
2024-02-10,1132
2024-02-11,1141
2024-02-12,1175
2024-02-13,1173
2024-02-14,1023
2024-02-15,848
2024-02-16,946
2024-02-17,950
2024-02-18,1218
2024-02-19,1217
2024-02-20,1247
2024-02-21,1090
2024-02-22,825
2024-02-23,849
2024-02-24,1064
2024-02-25,1168
2024-02-26,1249
2024-02-27,1166
2024-02-28,897
2024-02-29,866
2024-03-01,846
2024-03-02,999
2024-03-03,1262
2024-03-04,1191
2024-03-05,1209
2024-03-06,983
2024-03-07,856
2024-03-08,923
2024-03-09,1044
2024-03-10,1222
2024-03-11,1306
2024-03-12,1155
2024-03-13,969
2024-03-14,819
2024-03-15,846
2024-03-16,1178
2024-03-17,1259
2024-03-18,1193
2024-03-19,1108
2024-03-20,1028
2024-03-21,904
2024-03-22,918
2024-03-23,1021
2024-03-24,1194
2024-03-25,1281
2024-03-26,1182
2024-03-27,896
2024-03-28,869
2024-03-29,851
2024-03-30,1046
2024-03-31,1353
2024-04-01,1286
2024-04-02,1166
2024-04-03,1056
2024-04-04,908
2024-04-05,918
2024-04-06,1071
2024-04-07,1310
2024-04-08,1214
2024-04-09,1208
2024-04-10,967
2024-04-11,915
2024-04-12,854
2024-04-13,1023
2024-04-14,1196
2024-04-15,1323
2024-04-16,1234
2024-04-17,955
2024-04-18,893
2024-04-19,868
2024-04-20,985
2024-04-21,1203
2024-04-22,1262
2024-04-23,1313
2024-04-24,1042
2024-04-25,825
2024-04-26,879
2024-04-27,1102
2024-04-28,1322
2024-04-29,1202
2024-04-30,1101
2024-05-01,1117
2024-05-02,916
2024-05-03,867
2024-05-04,1081
2024-05-05,1089
2024-05-06,1285
2024-05-07,1214
2024-05-08,1073
2024-05-09,849
2024-05-10,918
2024-05-11,1011
2024-05-12,1237
2024-05-13,1243
2024-05-14,1181
2024-05-15,980
2024-05-16,936
2024-05-17,960
2024-05-18,1049
2024-05-19,1229
2024-05-20,1219
2024-05-21,1190
2024-05-22,1031
2024-05-23,1038
2024-05-24,865
2024-05-25,1137
2024-05-26,1280
2024-05-27,1308
2024-05-28,1296
2024-05-29,1056
2024-05-30,930
2024-05-31,921
2024-06-01,1129
2024-06-02,1289
2024-06-03,1266
2024-06-04,1146
2024-06-05,1030
2024-06-06,874
2024-06-07,924
2024-06-08,1133
2024-06-09,1214
2024-06-10,1299
2024-06-11,1218
2024-06-12,1086
2024-06-13,805
2024-06-14,900
2024-06-15,1085
2024-06-16,1301
2024-06-17,1280
2024-06-18,1124
2024-06-19,1078
2024-06-20,889
2024-06-21,874
2024-06-22,1046
2024-06-23,1235
2024-06-24,1278
2024-06-25,1111
2024-06-26,1095
2024-06-27,987
2024-06-28,970
2024-06-29,1024
2024-06-30,1237
2024-07-01,1311
2024-07-02,1255
2024-07-03,1087
2024-07-04,890
2024-07-05,945
2024-07-06,1107
2024-07-07,1323
2024-07-08,1350
2024-07-09,1268
2024-07-10,1061
2024-07-11,1001
2024-07-12,964
2024-07-13,1045
2024-07-14,1324
2024-07-15,1353
2024-07-16,1209
2024-07-17,1037
2024-07-18,949
2024-07-19,970
2024-07-20,1101
2024-07-21,1273
2024-07-22,1406
2024-07-23,1289
2024-07-24,1073
2024-07-25,984
2024-07-26,899
2024-07-27,1114
2024-07-28,1351
2024-07-29,1314
2024-07-30,1196
2024-07-31,1035
2024-08-01,886
2024-08-02,915
2024-08-03,1079
2024-08-04,1194
2024-08-05,1329
2024-08-06,1287
2024-08-07,1025
2024-08-08,1020
2024-08-09,983
2024-08-10,1153
2024-08-11,1235
2024-08-12,1374
2024-08-13,1190
2024-08-14,1118
2024-08-15,956
2024-08-16,988
2024-08-17,1046
2024-08-18,1226
2024-08-19,1365
2024-08-20,1201
2024-08-21,1100
2024-08-22,882
2024-08-23,1006
2024-08-24,1046
2024-08-25,1302
2024-08-26,1369
2024-08-27,1217
2024-08-28,1110
2024-08-29,967
2024-08-30,940
2024-08-31,1061
2024-09-01,1179
2024-09-02,1359
2024-09-03,1177
2024-09-04,1089
2024-09-05,944
2024-09-06,1005
2024-09-07,1099
2024-09-08,1264
2024-09-09,1381
2024-09-10,1275
2024-09-11,1103
2024-09-12,984
2024-09-13,897
2024-09-14,1156
2024-09-15,1315
2024-09-16,1297
2024-09-17,1250
2024-09-18,1089
2024-09-19,957
2024-09-20,994
2024-09-21,1193
2024-09-22,1342
2024-09-23,1286
2024-09-24,1296
2024-09-25,1160
2024-09-26,987
2024-09-27,1035
2024-09-28,1225
2024-09-29,1342
2024-09-30,1367
2024-10-01,1321
2024-10-02,1105
2024-10-03,972
2024-10-04,967
2024-10-05,1206
2024-10-06,1253
2024-10-07,1435
2024-10-08,1297
2024-10-09,1031
2024-10-10,992
2024-10-11,882
2024-10-12,1163
2024-10-13,1342
2024-10-14,1332
2024-10-15,1281
2024-10-16,1202
2024-10-17,952
2024-10-18,938
2024-10-19,1209
2024-10-20,1399
2024-10-21,1365
2024-10-22,1329
2024-10-23,1175
2024-10-24,944
2024-10-25,970
2024-10-26,1200
2024-10-27,1389
2024-10-28,1396
2024-10-29,1238
2024-10-30,1210
2024-10-31,958
2024-11-01,981
2024-11-02,1159
2024-11-03,1385
2024-11-04,1414
2024-11-05,1306
2024-11-06,1137
2024-11-07,990
2024-11-08,1029
2024-11-09,1018
2024-11-10,1296
2024-11-11,1387
2024-11-12,1231
2024-11-13,1137
2024-11-14,981
2024-11-15,1092
2024-11-16,1227
2024-11-17,1291
2024-11-18,1371
2024-11-19,1288
2024-11-20,1098
2024-11-21,1004
2024-11-22,970
2024-11-23,1095
2024-11-24,1349
2024-11-25,1413
2024-11-26,1255
2024-11-27,1169
2024-11-28,966
2024-11-29,1024
2024-11-30,1196
2024-12-01,1319
2024-12-02,1408
2024-12-03,1273
2024-12-04,1118
2024-12-05,991
2024-12-06,977
2024-12-07,1149
2024-12-08,1247
2024-12-09,1364
2024-12-10,1288
2024-12-11,1118
2024-12-12,992
2024-12-13,1015
2024-12-14,1186
2024-12-15,1372
2024-12-16,1359
2024-12-17,1245
2024-12-18,1082
2024-12-19,983
2024-12-20,1003
2024-12-21,1126
2024-12-22,1266
2024-12-23,1372
2024-12-24,1318
2024-12-25,1167
2024-12-26,983
2024-12-27,1004
2024-12-28,1122
2024-12-29,1333
2024-12-30,1356
2024-12-31,1341
